date,TCI,TCI_lead1,HSS_t1_q75,split_flag
2023-04-06,17.27849193478711,17.27119000067693,0,train
2023-04-10,17.27119000067693,17.273507631272565,0,train
2023-04-11,17.273507631272565,17.26097412345188,0,train
2023-04-12,17.26097412345188,17.24247276207396,0,train
2023-04-13,17.24247276207396,17.23217915169153,0,train
2023-04-14,17.23217915169153,17.229067532739293,0,train
2023-04-17,17.229067532739293,17.209939593392853,0,train
2023-04-18,17.209939593392853,17.199978646943535,0,train
2023-04-19,17.199978646943535,17.202469484320414,0,train
2023-04-20,17.202469484320414,17.19194882595967,0,train
2023-04-21,17.19194882595967,17.191617715271526,0,train
2023-04-24,17.191617715271526,17.2040180896767,0,train
2023-04-25,17.2040180896767,17.2080441948407,0,train
2023-04-26,17.2080441948407,17.188447192034197,0,train
2023-04-27,17.188447192034197,17.145875624730998,0,train
2023-04-28,17.145875624730998,17.146647377737935,0,train
2023-05-01,17.146647377737935,17.185844489640413,0,train
2023-05-02,17.185844489640413,17.24199966747868,0,train
2023-05-03,17.24199966747868,17.228797499577343,0,train
2023-05-04,17.228797499577343,17.225034254007486,0,train
2023-05-05,17.225034254007486,17.19701870011175,0,train
2023-05-08,17.19701870011175,17.183822918807653,0,train
2023-05-09,17.183822918807653,17.203985727755956,0,train
2023-05-11,17.203985727755956,17.201157916892505,0,train
2023-05-12,17.201157916892505,17.22550282108175,0,train
2023-05-15,17.22550282108175,17.21487891170511,0,train
2023-05-16,17.21487891170511,17.21110073818902,0,train
2023-05-17,17.21110073818902,17.25083440476681,0,train
2023-05-18,17.25083440476681,17.205776618628196,0,train
2023-05-19,17.205776618628196,17.252590454451244,0,train
2023-05-22,17.252590454451244,17.220986734913865,0,train
2023-05-23,17.220986734913865,17.168655659507337,0,train
2023-05-24,17.168655659507337,17.240634807616605,0,train
2023-05-25,17.240634807616605,17.266723358343196,0,train
2023-05-26,17.266723358343196,17.3680829587043,0,train
2023-05-30,17.3680829587043,17.328565774519554,0,train
2023-05-31,17.328565774519554,17.236127576097996,0,train
2023-06-01,17.236127576097996,17.189729839868587,0,train
2023-06-02,17.189729839868587,17.19995533393487,0,train
2023-06-05,17.19995533393487,17.182088032897504,0,train
2023-06-06,17.182088032897504,17.176769766489684,0,train
2023-06-07,17.176769766489684,17.163064474550495,0,train
2023-06-08,17.163064474550495,17.171404363193922,0,train
2023-06-09,17.171404363193922,17.18604036287048,0,train
2023-06-12,17.18604036287048,17.15145432515738,0,train
2023-06-13,17.15145432515738,17.14690929838357,0,train
2023-06-14,17.14690929838357,17.153603725555435,0,train
2023-06-15,17.153603725555435,17.109585892845733,0,train
2023-06-16,17.109585892845733,17.08002842447575,0,train
2023-06-20,17.08002842447575,17.045685527802338,0,train
2023-06-21,17.045685527802338,17.050624655354444,0,train
2023-06-22,17.050624655354444,17.014909079777528,0,train
2023-06-23,17.014909079777528,16.99864500969513,0,train
2023-06-26,16.99864500969513,16.96047607972394,0,train
2023-06-27,16.96047607972394,16.952807056344753,0,train
2023-06-29,16.952807056344753,16.972214283722842,0,train
2023-06-30,16.972214283722842,16.86396812032999,0,train
2023-07-03,16.86396812032999,16.848225268941164,0,train
2023-07-05,16.848225268941164,16.902141107999125,0,train
2023-07-06,16.902141107999125,16.86627197921521,0,train
2023-07-07,16.86627197921521,16.860365458351424,0,train
2023-07-10,16.860365458351424,16.841669491093306,0,train
2023-07-11,16.841669491093306,16.84550552812302,0,train
2023-07-12,16.84550552812302,16.84102398998496,0,train
2023-07-13,16.84102398998496,16.838696237324292,0,train
2023-07-14,16.838696237324292,16.823259009964143,0,train
2023-07-17,16.823259009964143,16.8262493251917,0,train
2023-07-18,16.8262493251917,16.817546620475852,0,train
2023-07-19,16.817546620475852,16.808630593432326,0,train
