"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2022","412.10","412.10","412.10","412.10","","0.02%"
"05/20/2022","417.25","417.25","417.25","417.25","0.04K","1.25%"
"05/23/2022","416.00","416.00","416.00","416.00","","-0.30%"
"05/24/2022","408.00","408.00","408.00","408.00","0.00K","-1.92%"
"05/25/2022","404.65","400.00","400.00","400.00","0.02K","-0.82%"
"05/26/2022","403.00","403.00","403.00","403.00","0.03K","-0.41%"
"05/27/2022","406.65","406.65","406.65","406.65","0.00K","0.91%"
"05/30/2022","401.00","390.00","401.00","390.00","0.06K","-1.39%"
"05/31/2022","427.00","406.00","428.00","406.00","0.03K","6.48%"
"06/01/2022","412.00","415.00","418.00","412.00","0.01K","-3.51%"
"06/02/2022","412.50","412.50","412.50","412.50","","0.12%"
"06/03/2022","412.50","412.50","412.50","412.50","","0.00%"
"06/06/2022","415.25","415.25","415.25","415.25","","0.67%"
"06/07/2022","397.00","408.00","408.00","403.00","0.03K","-4.39%"
"06/08/2022","395.40","402.00","402.00","395.00","0.03K","-0.40%"
"06/09/2022","396.00","400.00","400.00","395.00","0.05K","0.15%"
"06/10/2022","392.35","394.00","395.00","392.00","0.01K","-0.92%"
"06/13/2022","390.35","390.35","390.35","390.35","0.01K","-0.51%"
"06/14/2022","383.50","383.00","383.00","383.00","0.01K","-1.75%"
"06/15/2022","386.35","386.35","386.35","386.35","","0.74%"
"06/16/2022","387.35","395.00","395.00","395.00","0.01K","0.26%"
"06/17/2022","389.35","389.35","389.35","389.35","","0.52%"
"06/20/2022","392.75","392.75","392.75","392.75","","0.87%"
"06/21/2022","390.00","390.00","390.00","390.00","0.01K","-0.70%"
"06/22/2022","392.00","392.00","392.00","392.00","","0.51%"
"06/23/2022","397.50","395.00","395.00","395.00","0.01K","1.40%"
"06/24/2022","397.00","397.00","397.00","397.00","","-0.13%"
"06/27/2022","392.45","389.00","395.00","389.00","0.02K","-1.15%"
"06/28/2022","393.50","385.00","394.00","385.00","0.02K","0.27%"
"06/29/2022","380.00","389.00","390.00","380.00","0.04K","-3.43%"
"06/30/2022","385.95","380.00","390.00","380.00","0.01K","1.57%"
"07/01/2022","388.00","388.00","388.00","388.00","0.01K","0.53%"
"07/04/2022","396.45","396.45","396.45","396.45","0.00K","2.18%"
"07/05/2022","397.60","397.60","397.60","397.60","","0.29%"
"07/06/2022","399.70","399.70","399.70","399.70","","0.53%"
"07/07/2022","410.00","410.00","410.00","410.00","0.02K","2.58%"
"07/08/2022","413.75","411.00","412.00","411.00","0.02K","0.91%"
"07/11/2022","419.00","419.00","419.00","419.00","0.00K","1.27%"
"07/12/2022","426.00","426.00","426.00","426.00","0.01K","1.67%"
"07/13/2022","430.00","432.00","432.00","432.00","0.01K","0.94%"
"07/14/2022","416.35","415.00","415.00","415.00","0.01K","-3.17%"
"07/15/2022","406.55","410.00","410.00","410.00","0.00K","-2.35%"
"07/18/2022","396.05","396.05","396.05","396.05","0.00K","-2.58%"
"07/19/2022","399.65","399.00","399.00","399.00","0.00K","0.91%"
"07/20/2022","408.60","408.60","408.60","408.60","","2.24%"
"07/21/2022","403.40","403.40","403.40","403.40","","-1.27%"
"07/22/2022","409.20","409.20","409.20","409.20","","1.44%"
"07/25/2022","410.25","410.25","410.25","410.25","","0.26%"
"07/26/2022","414.00","414.00","414.00","414.00","","0.91%"
"07/27/2022","411.50","411.50","411.50","411.50","","-0.60%"
"07/28/2022","411.40","411.40","411.40","411.40","","-0.02%"
"07/29/2022","407.90","407.90","407.90","407.90","","-0.85%"
"08/01/2022","405.00","405.00","405.00","405.00","","-0.71%"
"08/02/2022","403.50","403.50","403.50","403.50","","-0.37%"
"08/03/2022","393.50","393.50","393.50","393.50","0.01K","-2.48%"
"08/04/2022","385.00","390.00","390.00","390.00","0.02K","-2.16%"
"08/05/2022","361.00","361.00","361.00","361.00","0.05K","-6.23%"
"08/08/2022","371.00","371.00","371.00","371.00","0.02K","2.77%"
"08/09/2022","384.50","384.50","384.50","384.50","","3.64%"
"08/10/2022","398.65","398.65","398.65","398.65","","3.68%"
"08/11/2022","401.00","401.00","401.00","401.00","","0.59%"
"08/12/2022","407.65","407.65","407.65","407.65","","1.66%"
"08/15/2022","407.50","407.50","407.50","407.50","","-0.04%"
"08/16/2022","405.00","405.00","405.00","405.00","","-0.61%"
"08/17/2022","413.90","413.90","413.90","413.90","","2.20%"
"08/18/2022","413.90","413.90","413.90","413.90","","0.00%"
"08/19/2022","416.25","416.25","416.25","416.25","","0.57%"
"08/22/2022","418.35","418.35","418.35","418.35","","0.50%"
"08/23/2022","417.60","417.60","417.60","417.60","","-0.18%"
"08/24/2022","412.60","412.60","412.60","412.60","","-1.20%"
"08/25/2022","417.50","417.50","417.50","417.50","","1.19%"
"08/26/2022","417.40","417.40","417.40","417.40","","-0.02%"
"08/29/2022","422.75","422.75","422.75","422.75","","1.28%"
"08/30/2022","414.55","414.55","414.55","414.55","0.01K","-1.94%"
"08/31/2022","425.00","425.00","425.00","425.00","","2.52%"
"09/01/2022","427.35","427.35","427.35","427.35","","0.55%"
"09/02/2022","435.00","435.00","435.00","435.00","","1.79%"
"09/05/2022","457.80","457.80","457.80","457.80","0.01K","5.24%"
"09/06/2022","450.25","450.25","450.25","450.25","0.00K","-1.65%"
"09/07/2022","439.00","439.00","439.00","439.00","0.02K","-2.50%"
"09/08/2022","440.35","430.00","440.00","430.00","0.02K","0.31%"
"09/09/2022","435.25","435.25","435.25","435.25","","-1.16%"
"09/12/2022","437.50","437.00","437.00","436.00","0.04K","0.52%"
"09/13/2022","439.35","436.50","438.00","436.50","0.03K","0.42%"
"09/14/2022","444.20","444.20","444.20","444.20","0.00K","1.10%"
"09/15/2022","445.50","445.50","445.50","445.50","","0.29%"
"09/16/2022","439.00","439.00","439.00","439.00","0.00K","-1.46%"
"09/19/2022","439.05","439.05","439.05","439.05","","0.01%"
"09/20/2022","441.30","441.30","441.30","441.30","0.01K","0.51%"
"09/21/2022","444.50","440.00","440.00","440.00","0.02K","0.73%"
"09/22/2022","435.65","435.65","435.65","435.65","0.00K","-1.99%"
"09/23/2022","435.20","435.20","435.20","435.20","","-0.10%"
"09/26/2022","438.00","438.00","438.00","438.00","","0.64%"
"09/27/2022","437.65","437.65","437.65","437.65","","-0.08%"
"09/28/2022","436.00","436.00","436.00","436.00","","-0.38%"
"09/29/2022","435.75","435.75","435.75","435.75","","-0.06%"
"09/30/2022","433.70","433.70","433.70","433.70","","-0.47%"
